Instance,Income
111994,32752.0
111995,-27120.0
111996,39808.0
111997,155024.0
111998,27536.0
111999,133104.0
112000,98416.0
112001,84720.0
112002,52208.0
112003,101968.0
112004,-35312.0
112005,191392.0
112006,-68240.0
112007,110080.0
112008,302128.0
112009,69360.0
112010,45120.0
112011,-960.0
112012,24768.0
112013,53776.0
112014,158928.0
112015,18784.0
112016,64864.0
112017,-2848.0
112018,217312.0
112019,61184.0
112020,4336.0
112021,-3328.0
112022,93056.0
112023,98032.0
112024,-32880.0
112025,79728.0
112026,43056.0
112027,59904.0
112028,-576.0
112029,51648.0
112030,176752.0
112031,213072.0
112032,216608.0
112033,93456.0
112034,398560.0
112035,95840.0
112036,186160.0
112037,184400.0
112038,178592.0
112039,20176.0
112040,81200.0
112041,80576.0
112042,64800.0
112043,49104.0
112044,16720.0
112045,40192.0
112046,273584.0
112047,16528.0
112048,-72304.0
112049,103696.0
112050,29088.0
112051,70752.0
112052,132480.0
112053,181840.0
112054,132160.0
112055,-36416.0
112056,100544.0
112057,-15136.0
112058,129104.0
112059,7360.0
112060,316624.0
112061,157392.0
112062,202896.0
112063,71216.0
112064,-10416.0
112065,59264.0
112066,24432.0
112067,117440.0
112068,148016.0
112069,272064.0
112070,324464.0
112071,84176.0
112072,90864.0
112073,13200.0
112074,36784.0
112075,-4240.0
112076,133056.0
112077,718256.0
112078,1280.0
112079,210768.0
112080,150816.0
112081,553104.0
112082,-1328.0
112083,92432.0
112084,37264.0
112085,44272.0
112086,-11744.0
112087,80032.0
112088,124016.0
112089,41152.0
112090,175392.0
112091,39120.0
112092,6976.0
112093,114272.0
112094,-48.0
112095,-16944.0
112096,143504.0
112097,-3792.0
112098,-39184.0
112099,50896.0
112100,38736.0
112101,334560.0
112102,-1136.0
112103,150192.0
112104,63984.0
112105,117712.0
112106,110384.0
112107,121056.0
112108,97024.0
112109,18576.0
112110,81792.0
112111,3680.0
112112,66288.0
112113,78576.0
112114,67808.0
112115,31856.0
112116,73856.0
112117,98576.0
112118,48784.0
112119,68176.0
112120,337808.0
112121,127120.0
112122,423984.0
112123,357136.0
112124,92224.0
112125,167856.0
112126,180176.0
112127,-15392.0
112128,43264.0
112129,118512.0
112130,103536.0
112131,102176.0
112132,67104.0
112133,248464.0
112134,44736.0
112135,-51600.0
112136,58832.0
112137,-6320.0
112138,25008.0
112139,55376.0
112140,31984.0
112141,24064.0
112142,81840.0
112143,280000.0
112144,-39184.0
112145,9200.0
112146,79344.0
112147,217376.0
112148,81808.0
112149,58704.0
112150,-9200.0
112151,244880.0
112152,114704.0
112153,53632.0
112154,97168.0
112155,98704.0
112156,127632.0
112157,138624.0
112158,58352.0
112159,289648.0
112160,31984.0
112161,170896.0
112162,100224.0
112163,44512.0
112164,85840.0
112165,129376.0
112166,84864.0
112167,47760.0
112168,79920.0
112169,218144.0
112170,208688.0
112171,87776.0
112172,-7648.0
112173,151584.0
112174,9024.0
112175,41904.0
112176,2192.0
112177,87968.0
112178,-32496.0
112179,12752.0
112180,-10768.0
112181,-5232.0
112182,218288.0
112183,109792.0
112184,-26240.0
112185,320688.0
112186,11328.0
112187,140944.0
112188,198816.0
112189,35440.0
112190,47904.0
112191,95024.0
112192,327552.0
112193,37456.0
112194,171024.0
112195,72720.0
112196,-31120.0
112197,319760.0
112198,39184.0
112199,20976.0
112200,32320.0
112201,230864.0
112202,133456.0
112203,21984.0
112204,47312.0
112205,-10976.0
112206,146032.0
112207,362960.0
112208,61328.0
112209,441632.0
112210,68304.0
112211,221680.0
112212,76816.0
112213,-15344.0
112214,272928.0
112215,72512.0
112216,117296.0
112217,-8160.0
112218,16192.0
112219,358576.0
112220,92272.0
112221,-8176.0
112222,36448.0
112223,74256.0
112224,176272.0
112225,60912.0
112226,84800.0
112227,35616.0
112228,106608.0
112229,69744.0
112230,198832.0
112231,-58416.0
112232,227872.0
112233,25648.0
112234,71920.0
112235,-32624.0
112236,122512.0
112237,409392.0
112238,58016.0
112239,74864.0
112240,59888.0
112241,-21104.0
112242,16160.0
112243,108272.0
112244,193584.0
112245,126960.0
112246,44160.0
112247,371008.0
112248,124112.0
112249,-56064.0
112250,25264.0
112251,57440.0
112252,66096.0
112253,-38096.0
112254,226832.0
112255,43664.0
112256,22304.0
112257,39376.0
112258,484528.0
112259,220752.0
112260,162096.0
112261,355952.0
112262,115632.0
112263,2224.0
112264,91136.0
112265,32304.0
112266,53328.0
112267,76816.0
112268,125312.0
112269,432336.0
112270,-25296.0
112271,88896.0
112272,124848.0
112273,150704.0
112274,-18416.0
112275,267808.0
112276,280432.0
112277,45664.0
112278,-2112.0
112279,3600.0
112280,136048.0
112281,45264.0
112282,205152.0
112283,103808.0
112284,104624.0
112285,73408.0
112286,91344.0
112287,37296.0
112288,71344.0
112289,215152.0
112290,182080.0
112291,-12912.0
112292,418272.0
112293,-11440.0
112294,286288.0
112295,65792.0
112296,208608.0
112297,104880.0
112298,91856.0
112299,-4016.0
112300,28800.0
112301,13264.0
112302,39888.0
112303,15008.0
112304,173296.0
112305,14640.0
112306,113776.0
112307,78992.0
112308,114928.0
112309,53520.0
112310,-17904.0
112311,116688.0
112312,28144.0
112313,116032.0
112314,11760.0
112315,224544.0
112316,13920.0
112317,27664.0
112318,-6832.0
112319,-36752.0
112320,457376.0
112321,4432.0
112322,12768.0
112323,107568.0
112324,426096.0
112325,229360.0
112326,136752.0
112327,262288.0
112328,114960.0
112329,165616.0
112330,360976.0
112331,373504.0
112332,243408.0
112333,309440.0
112334,331104.0
112335,98160.0
112336,24272.0
112337,204224.0
112338,296208.0
112339,291344.0
112340,36080.0
112341,793936.0
112342,71184.0
112343,130000.0
112344,52320.0
112345,57616.0
112346,121056.0
112347,-29008.0
112348,1504.0
112349,32368.0
112350,120624.0
112351,50672.0
112352,73264.0
112353,-28288.0
112354,151712.0
112355,93312.0
112356,67600.0
112357,52624.0
112358,88000.0
112359,49984.0
112360,31264.0
112361,215024.0
112362,83120.0
112363,39440.0
112364,-49664.0
